1970-01-01 00:00:00.000000|||||||||||||||||
1970-01-01 00:00:00.008000|||||||||||||||||
1970-01-01 00:00:00.016059|||||||||||||||||
1970-01-01 00:00:00.023059|||||||||||||||||
1970-01-01 00:00:00.195202|193.167.0.100|193.167.100.100|1288|37399|443|0x00000001|0||be33d5ea7f746c832b8ec2ef69|0,6|||||1|server4|63
1970-01-01 00:00:00.233909|193.167.100.100|193.167.0.100|1224|443|37399|0x00000001|0|f33c6ac562d3a83cbbec7c63||6,0|||||2||63
1970-01-01 00:00:00.234084|193.167.100.100|193.167.0.100|196|443|37399|0x00000001|2|f33c6ac562d3a83cbbec7c63||6|||||8||63
1970-01-01 00:00:00.234521|193.167.100.100|193.167.0.100|525|443|37399|0x00000001|2|f33c6ac562d3a83cbbec7c63||6|||||11||63
1970-01-01 00:00:00.234626|193.167.0.100|193.167.100.100|1288|37399|443|0x00000001|0||f33c6ac562d3a83cbbec7c63|2,0|0||0||||63
1970-01-01 00:00:00.234645|193.167.100.100|193.167.0.100|132|443|37399|0x00000001|2|f33c6ac562d3a83cbbec7c63||6|||||15||63
1970-01-01 00:00:00.234733|193.167.100.100|193.167.0.100|89|443|37399|0x00000001|2|f33c6ac562d3a83cbbec7c63||6|||||20||63
1970-01-01 00:00:00.234796|193.167.100.100|193.167.0.100|56|443|37399|0x00000001|0|f33c6ac562d3a83cbbec7c63||2|162||0||||63
1970-01-01 00:00:00.235674|193.167.0.100|193.167.100.100|52|37399|443|0x00000001|2||f33c6ac562d3a83cbbec7c63|2|0||0||||63
1970-01-01 00:00:00.235733|193.167.0.100|193.167.100.100|52|37399|443|0x00000001|2||f33c6ac562d3a83cbbec7c63|2|0||1||||63
1970-01-01 00:00:00.235792|193.167.0.100|193.167.100.100|52|37399|443|0x00000001|2||f33c6ac562d3a83cbbec7c63|2|0||2||||63
1970-01-01 00:00:00.235851|193.167.0.100|193.167.100.100|91|37399|443|0x00000001|2||f33c6ac562d3a83cbbec7c63|2,6|0||3||20||63
1970-01-01 00:00:00.235942|193.167.0.100|193.167.100.100|58|37399|443||||f33c6ac562d3a83cbbec7c63|9|||||||63
1970-01-01 00:00:00.268006|193.167.100.100|193.167.0.100|30|443|37399|||||30|||||||63
1970-01-01 00:00:00.268131|193.167.100.100|193.167.0.100|40|443|37399|||||7|||||||63
1970-01-01 00:00:00.268357|193.167.0.100|193.167.100.100|1374|37399|443||||f33c6ac562d3a83cbbec7c63|0,1|||||||63
1970-01-01 00:00:00.268442|193.167.100.100|193.167.0.100|290|443|37399|||||6|||||4||63
1970-01-01 00:00:00.268692|193.167.100.100|193.167.0.100|291|443|37399|||||6|||||4||63
