1970-01-01 00:00:00.000000|||||||||||||||||
1970-01-01 00:00:00.008000|||||||||||||||||
1970-01-01 00:00:00.016059|||||||||||||||||
1970-01-01 00:00:00.023059|||||||||||||||||
1970-01-01 00:00:00.189151|193.167.0.100|193.167.100.100|1288|44697|443|0x00000001|0||063091c2efaa9d54a0d1034e55ba|0,6|||||1|server4|63
1970-01-01 00:00:00.230335|193.167.100.100|193.167.0.100|1208|443|44697|0x00000001,0x00000001|0,2|26886616928277c1,26886616928277c1||2,6,6|412||0|3|2,8,11,15,20||63
1970-01-01 00:00:00.231545|193.167.0.100|193.167.100.100|1288|44697|443|0x00000001,0x00000001|0,2||26886616928277c1,26886616928277c1,26886616928277c1|2,0,6,9|0||0||20||63
1970-01-01 00:00:00.232593|193.167.0.100|193.167.100.100|48|44697|443|0x00000001|2||26886616928277c1|2|0||0||||63
1970-01-01 00:00:00.263998|193.167.100.100|193.167.0.100|112|443|44697|||||30,24,24,24|||||||63
1970-01-01 00:00:00.264349|193.167.0.100|193.167.100.100|42|44697|443||||c721d2cebf5bb384|2,25|14||0||||63
1970-01-01 00:00:00.267982|193.167.100.100|193.167.0.100|33|443|44697|||||2|622||0||||63
1970-01-01 00:00:00.271510|193.167.100.100|193.167.0.100|1055|443|44697|||||11|||||||63
1970-01-01 00:00:00.271907|193.167.0.100|193.167.100.100|38|44697|443||||c721d2cebf5bb384|29|||||||63
1970-01-01 00:00:00.295130|193.167.100.100|193.167.0.100|55|443|44697|||||24|||||||63
1970-01-01 00:00:00.295289|193.167.0.100,193.167.100.100|193.167.100.100,193.167.0.100|55|443|44697|||||24|||||||63,62
1970-01-01 00:00:00.296744|193.167.100.100|193.167.0.100|33|443|44697|||||2|239||1||||63
1970-01-01 00:00:00.296849|193.167.0.100,193.167.100.100|193.167.100.100,193.167.0.100|33|443|44697|||||2|239||1||||63,62
