1970-01-01 00:00:00.000000|||||||||||||||||
1970-01-01 00:00:00.008000|||||||||||||||||
1970-01-01 00:00:00.016059|||||||||||||||||
1970-01-01 00:00:00.023059|||||||||||||||||
1970-01-01 00:00:00.182784|193.167.0.100|193.167.100.100|1288|35078|443|0x00000001|0||3f09858c4c0e0c741bd88c56249016a19c|0,6|||||1|server4|63
1970-01-01 00:00:00.222841|193.167.100.100|193.167.0.100|1240|443|35078|0x00000001,0x00000001|0,2|5a8b3e2dbc110583ca873154a9aa6e61,5a8b3e2dbc110583ca873154a9aa6e61||2,6,6,0|1895||0||2,8,11,15,20||63
1970-01-01 00:00:00.224040|193.167.0.100|193.167.100.100|1288|35078|443|0x00000001,0x00000001|0,2||5a8b3e2dbc110583ca873154a9aa6e61,5a8b3e2dbc110583ca873154a9aa6e61|3,0,6|0||0||20||63
1970-01-01 00:00:00.225088|193.167.0.100|193.167.100.100|113|35078|443|0x00000001|2||5a8b3e2dbc110583ca873154a9aa6e61,5a8b3e2dbc110583ca873154a9aa6e61|3,9|0||0||||63
1970-01-01 00:00:00.258729|193.167.100.100|193.167.0.100|1460|443|35078|||||1,0|||||||63
1970-01-01 00:00:00.258859|193.167.100.100|193.167.0.100|141|443|35078|||||2,30,24,24,24|194||0||||63
1970-01-01 00:00:00.259312|193.167.0.100|193.167.100.100|53|35078|443||||d3723d73cbd3df6235f73982793555b2|3,25|28||1||||63
1970-01-01 00:00:00.259721|193.167.100.100|193.167.0.100|1055|443|35078|||||30,10|||||||63
1970-01-01 00:00:00.259779|193.167.100.100|193.167.0.100|51|443|35078|||||30,15,0|||||||63
1970-01-01 00:00:00.260119|193.167.0.100|193.167.100.100|51|35078|443||||d3723d73cbd3df6235f73982793555b2|3|14||3||||63
1970-01-01 00:00:00.260219|193.167.0.100|193.167.100.100|46|35078|443||||d3723d73cbd3df6235f73982793555b2|29|||||||63
